2018-01-14 15:15:57 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:15:57 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:15:57 INFO  [main] client.View: 9
2018-01-14 15:15:57 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:15:57 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:15:58 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:15:58 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:15:58 INFO  [main] client.View: 9
2018-01-14 15:18:53 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:18:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:18:54 INFO  [main] client.View: 9
2018-01-14 15:18:54 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:18:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:18:54 INFO  [main] client.View: 9
2018-01-14 15:18:54 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:18:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:18:54 INFO  [main] client.View: 9
2018-01-14 15:18:54 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:18:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:18:54 INFO  [main] client.View: 9
2018-01-14 15:18:54 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:18:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:18:54 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:18:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:18:55 INFO  [main] client.View: 9
2018-01-14 15:26:50 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:26:50 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:31:19 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:31:19 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:32:10 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 15:32:10 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:33:03 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:33:03 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:33:12 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:33:12 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:33:20 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:33:20 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:36:50 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:36:50 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:37:08 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:37:08 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:39:36 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:39:36 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 16:00:02 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 16:00:02 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 16:00:02 INFO  [main] client.TestView: client.Controller@2aece37d
2018-01-14 16:00:17 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 16:00:17 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 16:00:17 INFO  [main] client.TestView: client.Controller@50a7bc6e
2018-01-14 16:00:24 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 16:00:28 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 16:00:41 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 16:00:43 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 20:09:22 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 20:09:22 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:09:22 INFO  [main] client.TestView: client.Controller@3c87521
2018-01-14 20:10:04 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:10:28 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 20:10:28 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:10:28 INFO  [main] client.TestView: client.Controller@2aece37d
2018-01-14 20:10:31 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 20:10:31 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:10:31 INFO  [main] client.TestView: client.Controller@161b062a
2018-01-14 20:11:04 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:11:05 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:11:22 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 20:11:23 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 20:15:25 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 20:15:25 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:15:26 INFO  [main] client.TestView: client.Controller@2aece37d
2018-01-14 20:15:28 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 20:15:28 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:15:28 INFO  [main] client.TestView: client.Controller@16aa0a0a
2018-01-14 20:15:34 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:15:35 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:15:44 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 20:15:46 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 20:16:14 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 20:16:14 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:16:14 INFO  [main] client.TestView: client.Controller@3c87521
2018-01-14 20:16:17 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 20:16:17 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 20:16:17 INFO  [main] client.TestView: client.Controller@161b062a
2018-01-14 20:16:23 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:16:24 INFO  [AWT-EventQueue-0] client.View: 9
2018-01-14 20:16:36 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
2018-01-14 20:16:38 INFO  [AWT-EventQueue-0] client.View: java.awt.Dimension[width=800,height=800]
